Actual Strength,MLR Predicted,KNNR Predicted
54.9,55.41411027008418,54.81999999999999
26.06,28.69203941803147,32.998
24.1,37.32490111290706,28.118000000000002
15.03,14.511496925508311,17.256
43.57,43.61337763962622,41.35600000000001
17.96,18.30474169796632,15.052000000000001
26.92,27.734707070458654,24.33
73.7,64.67623847818666,62.3
17.24,16.514769925825618,12.907999999999998
30.45,25.322866936862027,48.480000000000004
35.34,37.37497524372411,34.046
29.55,36.387695168264386,47.694
64.9,63.575257043891966,53.29600000000001
30.65,37.62403416602659,34.384
42.13,45.03101625731371,35.954
13.4,19.533425133246908,38.416000000000004
17.44,19.115176752123503,14.866
33.04,44.65781093911437,30.102000000000004
13.29,18.699029736799787,12.809999999999999
6.81,9.420616409938496,17.256
20.28,21.40570604851763,18.599999999999998
16.26,18.134902334000316,14.863999999999999
50.95,42.57425007046257,48.577999999999996
45.3,45.89650263858586,54.532
28.1,36.36623886224008,42.54
59.2,75.88784407620048,64.42
29.23,25.838751991448206,29.136000000000003
55.5,57.36303370067456,50.806
33.08,38.215441341605185,38.918000000000006
38.11,39.77068352476344,35.954
43.58,45.072790778417684,40.502
52.91,35.50473041657851,51.574
25.69,21.406747773251524,24.636
8.06,9.719664144180477,14.674000000000001
40.39,43.58322797243049,43.266
17.95,23.599693140292672,15.988
15.58,16.895978146878363,15.937999999999999
6.47,2.1719841385774856,12.384
25.18,27.18229435629246,25.768
39.66,36.428189079988485,36.48199999999999
21.26,17.83520385894954,17.910000000000004
30.96,13.754514404336618,17.330000000000002
51.04,46.93828494915188,47.95
20.73,17.479960157127437,26.7
47.81,25.140533949213037,45.11
46.9,50.345810781875684,52.720000000000006
30.23,28.317083717887442,25.306
31.97,31.49083383726051,25.613999999999997
36.84,41.00994310411397,40.620000000000005
32.92,39.9269225926066,36.903999999999996
40.86,41.26089696741295,38.132
47.1,44.79234828484776,46.775999999999996
11.58,9.217013251922694,15.413999999999998
55.55,54.05409520379797,47.694
64.02,50.8976590565111,45.9
44.14,47.28933524711705,42.628
31.65,32.51233954999965,33.362
15.62,12.687216742450701,15.059999999999999
55.65,53.655211301433766,46.374
40.87,41.14291365213482,36.508
50.6,38.89467173474985,36.494
24.43,24.270505058321675,27.782
67.11,66.59412348904218,62.782
49.77,40.73236054926899,41.33800000000001
27.94,39.205857008709486,28.834000000000003
54.6,55.233220928014134,43.608000000000004
24.24,37.75557274013077,30.631999999999998
41.72,45.21317621268565,34.715999999999994
8.37,5.814856906156535,12.209999999999999
53.39,55.27394371567833,52.676
19.35,20.98800083325976,25.454
46.68,53.46184933801459,52.124
42.62,51.52117737751084,41.87599999999999
40.27,49.45869766905494,44.010000000000005
23.64,35.46931799273075,39.438
33.06,26.929568130196003,24.366
69.84,53.552836774984215,60.519999999999996
13.12,13.600075695577985,17.206
26.32,31.248113425918376,31.303999999999995
48.99,43.385905007968375,51.246
59.89,60.40881485634377,63.318000000000005
13.18,13.654090638778541,30.434000000000005
52.96,49.986931220822115,51.742
22.93,28.10250590808228,25.494
37.81,35.57388960843116,37.078
